,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,Genre
258,0.643,0.751,5,-5.215,0,0.116,0.269,0.0,0.0507,0.735,129.143,4,R&B
259,0.678,0.438,9,-8.847,0,0.0577,0.29,0.0,0.0838,0.501,81.498,4,R&B
260,0.685,0.667,8,-3.837,1,0.0365,0.0564,0.0,0.115,0.643,95.518,4,R&B
261,0.827,0.469,10,-9.141,0,0.341,0.0807,8.12e-06,0.207,0.196,97.028,4,R&B
262,0.725,0.373,6,-6.498,0,0.0395,0.77,0.0,0.111,0.342,80.035,4,R&B
263,0.866,0.53,0,-6.347,0,0.0495,0.517,0.00159,0.0946,0.203,104.952,4,R&B
264,0.703,0.705,6,-3.984,0,0.154,0.153,0.0,0.49,0.708,140.934,4,R&B
265,0.397,0.507,11,-9.026,1,0.0605,0.259,0.0447,0.142,0.363,74.737,4,R&B
266,0.55,0.666,5,-6.089,1,0.0656,0.308,0.00763,0.185,0.423,147.828,4,R&B
267,0.579,0.632,3,-7.732,0,0.0918,0.677,0.0,0.0892,0.76,120.258,3,R&B
268,0.784,0.49,2,-5.554,1,0.262,0.646,0.00681,0.241,0.674,135.96,4,R&B
269,0.519,0.511,8,-10.622,1,0.0488,0.137,0.0,0.152,0.391,135.9,4,R&B
270,0.766,0.644,3,-5.754,0,0.0909,0.0186,0.00539,0.0909,0.491,105.984,4,R&B
272,0.726,0.408,11,-6.606,0,0.0614,0.603,0.0,0.225,0.459,115.918,4,R&B
273,0.675,0.701,8,-5.887,0,0.11,0.374,0.0,0.109,0.639,113.042,4,R&B
274,0.487,0.439,0,-11.316,1,0.392,0.742,0.0,0.091,0.369,91.582,4,R&B
275,0.495,0.719,4,-6.84,0,0.131,0.133,0.0,0.152,0.323,94.782,4,R&B
276,0.73,0.38,11,-8.558,0,0.0988,0.0319,4.93e-05,0.12,0.323,114.973,4,R&B
277,0.705,0.433,4,-9.706,1,0.204,0.388,0.134,0.0841,0.602,168.006,4,R&B
278,0.901,0.4,0,-8.575,1,0.126,0.051,0.0,0.0599,0.346,135.984,4,R&B
279,0.743,0.31,2,-10.016,1,0.0554,0.036,0.0251,0.183,0.171,95.993,4,R&B
280,0.911,0.525,8,-7.02,1,0.172,0.0741,0.0,0.311,0.768,102.03,3,R&B
281,0.502,0.514,1,-6.271,0,0.301,0.75,0.0,0.145,0.49,77.262,4,R&B
282,0.586,0.808,9,-5.061,0,0.0447,0.203,0.0,0.13,0.455,95.979,4,R&B
283,0.757,0.737,4,-6.728,0,0.114,0.311,0.0,0.113,0.635,98.057,4,R&B
284,0.52,0.644,7,-7.09,0,0.0783,0.129,0.000235,0.107,0.6,103.646,4,R&B
285,0.589,0.652,10,-7.498,1,0.373,0.704,0.00055,0.125,0.486,158.49,4,R&B
286,0.597,0.633,0,-5.828,1,0.0791,0.166,0.0,0.0768,0.615,87.976,4,R&B
287,0.784,0.416,7,-9.231,1,0.102,0.0546,2.16e-05,0.112,0.259,147.994,4,R&B
288,0.517,0.747,6,-4.74,0,0.296,0.0189,7.35e-06,0.0821,0.506,102.033,4,R&B
289,0.623,0.585,0,-7.895,1,0.124,0.0628,0.000155,0.119,0.538,158.273,4,R&B
290,0.657,0.455,5,-10.586,1,0.0667,0.586,1.87e-05,0.18,0.488,129.943,4,R&B
291,0.625,0.561,5,-6.653,0,0.0644,0.019,0.0,0.31,0.243,126.088,4,R&B
292,0.541,0.55,5,-8.051,0,0.0949,0.189,0.000728,0.11,0.253,155.767,4,R&B
293,0.61,0.65,7,-7.092,1,0.0353,0.256,1.51e-05,0.431,0.586,79.957,4,R&B
